family,stage,level,variant,cue,resource,intervention,baseline,post,effect,max_plastic_change,wall_seconds,peak_rss_bytes
generic,1,0,primary,A,0.2,freeze,0.07078002072329878,0.07078002072329878,0.0,0.0,3.695897999998124,560742400
generic,1,0,primary,A,0.2,intact,0.07078002072329878,0.031242881346135586,0.49945214708266905,0.8410209048044506,4.3608136659968295,560742400
generic,1,0,primary,A,0.2,matched_dan,0.07078002072329878,0.031242881346135586,0.49945214708266905,0.8410209048044506,4.37144754199835,560742400
generic,1,0,primary,A,0.2,silence_dan,0.07078002072329878,0.07078002072329878,0.0,0.0,4.361867042003723,560742400
generic,1,0,primary,B,0.2,intact,0.112911179723297,0.05922886523949428,0.3767300944633032,0.841002750660438,4.377638417005073,560742400
generic,1,1,primary,A,0.2,freeze,0.07078036099557199,0.07078036099557199,0.0,0.0,13.557737082999665,644399104
generic,1,1,primary,A,0.2,intact,0.07078036099557199,0.031243240338921084,0.49944962074940336,0.8410209125477496,13.95781175000593,644399104
generic,1,1,primary,A,0.2,matched_dan,0.07078036099557199,0.031243240338921084,0.49944962074940336,0.8410209125477496,13.394290707998152,644399104
generic,1,1,primary,A,0.2,silence_dan,0.07078036099557199,0.07078036099557199,0.0,0.0,14.002518291999877,644399104
generic,1,1,primary,B,0.2,intact,0.11291160939401676,0.059229487405870626,0.37672730006510835,0.841002759486321,14.160317416004546,644399104
generic,1,2,context_cut,A,0.2,intact,0.07078002072329878,0.031242881346135586,0.49945214708266905,0.8410209048044506,51.32587491700542,642744320
generic,1,2,context_double,A,0.2,intact,0.07078073544272825,0.03124420683990825,0.4994393665004332,0.8410209360085878,56.80336733299919,642744320
generic,1,2,context_half,A,0.2,intact,0.07078006169182637,0.031242962506694408,0.49945135114135564,0.8410209066798353,53.28407520800101,642744320
generic,1,2,full_normalization,A,0.2,intact,0.0107096719833283,0.008756242607246494,0.16963973924030273,0.4524461730582825,31.271525916003156,642744320
generic,1,2,glutamate_inhibitory,A,0.2,intact,0.07077541495827883,0.03123890863879992,0.49947781857403517,0.8410208251011948,53.98542558300687,642744320
generic,1,2,primary,A,0.2,freeze,0.07078018945269049,0.07078018945269049,0.0,0.0,27.40567979199841,642744320
generic,1,2,primary,A,0.2,intact,0.07078018945269049,0.031243208206229688,0.49944895975358694,0.8410209124056197,27.880014457994548,642744320
generic,1,2,primary,A,0.2,matched_dan,0.07078018945269049,0.031243208206229688,0.49944895975358694,0.8410209124056197,28.046683000000485,642744320
generic,1,2,primary,A,0.2,silence_dan,0.07078018945269049,0.07078018945269049,0.0,0.0,27.978321250004228,642744320
generic,1,2,primary,B,0.2,intact,0.11291188392409574,0.05922962147918742,0.37672698866320564,0.8410027600637706,27.967064999997092,642744320
generic,1,3,primary,A,0.2,freeze,0.07078014908313164,0.07078014908313164,0.0,0.0,228.06879666599707,840220672
generic,1,3,primary,A,0.2,intact,0.07078014908313164,0.031243211628145723,0.4994486469004049,0.8410209131454746,242.045352000001,840220672
generic,1,3,primary,A,0.2,matched_dan,0.07078014908313164,0.031243211628145723,0.4994486469004049,0.8410209131454746,218.84679583399702,840220672
generic,1,3,primary,A,0.2,silence_dan,0.07078014908313164,0.07078014908313164,0.0,0.0,235.53277499999967,840220672
generic,1,3,primary,B,0.2,intact,0.11291188548305206,0.05922962299959291,0.37672689888852184,0.8410027607099484,234.22592399999849,840220672
generic,2,0,primary,A,0.2,freeze,0.0038535985441769316,0.0038535985441769316,0.0,0.0,0.7097516669964534,518979584
generic,2,0,primary,A,0.2,intact,0.003853595637778955,0.003853531641101144,1.6534739141538246e-05,3.380143859665896e-05,0.8663598330022069,518979584
generic,2,0,primary,A,0.2,matched_control,0.0038535416998667542,0.0038534779680727193,1.646656561138382e-05,3.365065367655351e-05,0.8801963750011055,518979584
generic,2,0,primary,A,0.2,silence_dan,0.0038535985441769316,0.0038535985441769316,0.0,0.0,0.8729821250017267,518979584
generic,2,0,primary,B,0.2,intact,0.009000138378628645,0.008999929187645174,2.2991645827863394e-05,7.967055891677788e-05,0.9378742080007214,518979584
generic,2,1,primary,A,0.2,freeze,0.003850972745155268,0.003850972745155268,0.0,0.0,5.452216624995344,632389632
generic,2,1,primary,A,0.2,intact,0.0038509698529272285,0.0038509061774698312,1.6462963154717514e-05,3.365365649643515e-05,5.641649791999953,632389632
generic,2,1,primary,A,0.2,matched_control,0.0038509169740327024,0.0038508535662277383,1.6394021805199444e-05,3.350129547985414e-05,5.60153341700061,632389632
generic,2,1,primary,A,0.2,silence_dan,0.003850972745155268,0.003850972745155268,0.0,0.0,5.6165801669994835,632389632
generic,2,1,primary,B,0.2,intact,0.008998805584348813,0.008998597030880282,2.292484653121374e-05,7.942501619540021e-05,5.626055332999385,632389632
generic,2,2,context_cut,A,0.2,intact,0.003853595637778955,0.003853531641101144,1.6534739141538246e-05,3.380143859665896e-05,16.918656458998157,641810432
generic,2,2,context_double,A,0.2,intact,0.003842957065042878,0.003842894203084982,1.6286515220786946e-05,3.329320633260746e-05,20.210814334001043,641810432
generic,2,2,context_half,A,0.2,intact,0.0038529271248943786,0.00385286319964626,1.6519149261262633e-05,3.3769428295249426e-05,18.014148541995382,641810432
generic,2,2,glutamate_inhibitory,A,0.2,intact,0.003850856250136644,0.003850792660863107,1.644115192644957e-05,3.361641806420845e-05,17.509548624999297,641810432
generic,2,2,primary,A,0.2,freeze,0.003850930093250234,0.003850930093250234,0.0,0.0,17.75818312499905,641810432
generic,2,2,primary,A,0.2,intact,0.003850927199424428,0.0038508634877996786,1.647249492042757e-05,3.367371265938779e-05,17.900902624998707,641810432
generic,2,2,primary,A,0.2,matched_control,0.00385087431977388,0.0038508108757986004,1.6403553713462138e-05,3.352135424361524e-05,18.395198958998662,641810432
generic,2,2,primary,A,0.2,silence_dan,0.003850930093250234,0.003850930093250234,0.0,0.0,17.783419291998143,641810432
generic,2,2,primary,B,0.2,intact,0.0089987929486024,0.008998584348649624,2.2929983939601328e-05,7.94428806295544e-05,18.09492233399942,641810432
generic,2,2,role_normalization,A,0.2,intact,0.09256223209485684,0.09145705409476802,0.011407196007546139,0.020581074726489512,18.09098400000221,641810432
generic,2,3,primary,A,0.2,freeze,0.0038509762540338793,0.0038509762540338793,0.0,0.0,68.17057862500224,957923328
generic,2,3,primary,A,0.2,intact,0.003850973359547755,0.0038509096329047967,1.6476178501423355e-05,3.3682286851299814e-05,68.03938591699989,853917696
generic,2,3,primary,A,0.2,matched_control,0.003850920538483052,0.0038508570795001648,1.6407235184590085e-05,3.352992353145012e-05,68.3788657920013,976764928
generic,2,3,primary,A,0.2,silence_dan,0.0038509762540338793,0.0038509762540338793,0.0,0.0,68.05239537500165,878985216
generic,2,3,primary,B,0.2,intact,0.008998813246591537,0.008998604543302719,2.2941298769341145e-05,7.947987654799427e-05,67.25264920799964,853917696
generic,3,0,primary,A,0.2,freeze_plasticity,0.01858129967002651,0.01858129967002651,,0.0,11.910557540999434,688848896
generic,3,0,primary,A,0.2,intact,0.01858125771346529,0.018575860050142515,,0.0011552008723380025,19.007079417002387,688848896
generic,3,0,primary,A,0.2,matched_control,0.01858120917676633,0.01857581150820808,,0.0011552023434110437,20.19497779199446,688848896
generic,3,0,primary,A,0.2,silence_dan,0.018583679722747208,0.018583679722747208,,0.0,20.33726245899743,688848896
generic,3,0,primary,A,0.8,freeze_plasticity,0.01857812638090698,0.01857812638090698,,0.0,11.882949667000503,688848896
generic,3,0,primary,A,0.8,intact,0.018578028471596803,0.018565433530367124,,0.0026942490218486714,20.852416041998367,688848896
generic,3,0,primary,A,0.8,matched_control,0.0185779799324553,0.018565384979019967,,0.002694252449816359,16.96726654200029,688848896
generic,3,0,primary,A,0.8,silence_dan,0.018583679722747208,0.018583679722747208,,0.0,16.71791033300542,688848896
generic,3,0,primary,B,0.2,intact,0.01628795014891475,0.016283638891099905,,0.0007600758414080255,19.280137250003463,688848896
generic,3,0,primary,B,0.8,intact,0.016285275106287914,0.01627521505244999,,0.0017731295466004715,16.67159025000001,688848896
generic,3,1,primary,A,0.2,freeze_plasticity,0.01858101533972937,0.01858101533972937,,0.0,27.585065416998987,794591232
generic,3,1,primary,A,0.2,intact,0.018580973387224118,0.018575576257985255,,0.0011550927057623062,32.099453709000954,794591232
generic,3,1,primary,A,0.2,matched_control,0.018580924902992808,0.018575527857976504,,0.0011550748149654622,32.316237083003216,794591232
generic,3,1,primary,A,0.2,silence_dan,0.01858339516519977,0.01858339516519977,,0.0,32.1172466670032,794591232
generic,3,1,primary,A,0.8,freeze_plasticity,0.01857784235352394,0.01857784235352394,,0.0,27.668034458001785,794591232
generic,3,1,primary,A,0.8,intact,0.01857774445367741,0.0185651507582417,,0.002693996941538046,32.14549591700052,794591232
