absolute_change,baseline,depression,post,root,run
2.3554475742267045e-08,0.0021754448189753076,1.0827429653414988e-05,0.0021754212644995653,720575940617760257,primary-2701-A
1.0023027242726801e-07,0.005315456976696415,1.885637921006378e-05,0.005315356746423988,720575940623377802,primary-2701-A
1.1350497342368926e-07,0.0062337860670451965,1.820803155627715e-05,0.006233672562071773,720575940626744921,primary-2701-A
1.8696989655076976e-08,0.0016896946883989028,1.106530652161819e-05,0.0016896759914092477,720575940638774606,primary-2701-A
3.548242041807523e-08,0.0027426574716336105,1.2937240900456892e-05,0.0027426219892131925,720575940617760257,primary-2701-B
3.7200596588946033e-07,0.013258378696683839,2.8058179238898973e-05,0.013258006690717949,720575940623377802,primary-2701-B
6.201838285285755e-08,0.0033977116375775752,1.825298597057934e-05,0.0033976496191947224,720575940626744921,primary-2701-B
3.6725716472119085e-07,0.016601805708619556,2.212151925917727e-05,0.016601438451454835,720575940638774606,primary-2701-B
6.512076415089718e-08,0.005394903993152579,1.2070792035134836e-05,0.005394838872388428,720575940617760257,primary-2702-A
1.3335751493023795e-07,0.008583228088968357,1.5536988362430115e-05,0.008583094731453427,720575940623377802,primary-2702-A
7.171357326377081e-08,0.004905065168248951,1.4620309986446145e-05,0.004904993454675688,720575940626744921,primary-2702-A
1.9921878074719707e-08,0.0021984088322979352,9.06195325545145e-06,0.0021983889104198605,720575940638774606,primary-2702-A
1.6103231198147383e-08,0.0011672461544340864,1.3795917113923473e-05,0.0011672300512028883,720575940617760257,primary-2702-B
1.8353461677181326e-07,0.01044368326912356,1.7573744055865426e-05,0.010443499734506789,720575940623377802,primary-2702-B
3.6759486617826687e-08,0.0030995591872255996,1.1859585314355492e-05,0.0030995224277389818,720575940626744921,primary-2702-B
3.324376213285213e-08,0.0031924509869239682,1.0413241195883494e-05,0.0031924177431618354,720575940638774606,primary-2702-B
7.576433421526557e-08,0.005634247219275515,1.3447108596187363e-05,0.005634171454941299,720575940617760257,primary-2703-A
1.240472229857223e-07,0.004489390040730571,2.7631197525801454e-05,0.004489265993507585,720575940623377802,primary-2703-A
2.0645543347130868e-07,0.009082982050291694,2.2729917589670023e-05,0.009082775594858223,720575940626744921,primary-2703-A
3.2529222601684372e-09,0.00027682216474446305,1.1750945821731307e-05,0.0002768189118222029,720575940638774606,primary-2703-A
1.5567693667679905e-07,0.004148001642621051,3.7530587036704866e-05,0.004147845965684374,720575940617760257,primary-2703-B
5.811904736693213e-07,0.012418189631890359,4.6801546030206254e-05,0.01241760844141669,720575940623377802,primary-2703-B
1.0025975166333412e-06,0.017364899952301532,5.773701659017583e-05,0.0173638973547849,720575940626744921,primary-2703-B
2.398777943727476e-07,0.009524712949141364,2.5184779389508805e-05,0.009524473071346991,720575940638774606,primary-2703-B
