run,seed,repeated,intervention,presentations,repeated_depression,unseen_depression,specificity,reset_depression,max_plastic_change,mean_plastic_change,plastic_rows_changed,restoration_exact,replay_exact,fast_reset_max_rate_delta,wall_seconds
primary-2701-A,2701,A,intact,10,1.6607003906599083e-05,7.226476506083657e-08,1.6534739141538246e-05,1.6607000043467046e-05,3.380143859665896e-05,4.499205824891719e-07,98,True,True,2.6490094839903833e-14,1.3938019170000189
primary-2701-B,2701,B,intact,10,2.324308523615759e-05,2.514394082941962e-07,2.2991645827863394e-05,2.324308021750543e-05,7.967055891677788e-05,1.5379604451548109e-06,181,True,True,8.032463583163008e-14,1.4226338749995193
primary-2702-A,2702,A,intact,10,1.3761462446582051e-05,3.3531406540276976e-09,1.3758109305928024e-05,1.3761459536465459e-05,3.0186737355442084e-05,6.319886868265353e-07,129,True,True,2.8173643973339324e-14,1.3574617079993914
primary-2702-B,2702,B,intact,10,1.5061275007166586e-05,3.5484165605836893e-09,1.5057726590606002e-05,1.5061271628424855e-05,2.601296433657474e-05,4.3487116421915587e-07,77,True,True,4.100712824861574e-14,1.3599950000007084
primary-2703-A,2703,A,intact,10,2.1018869456934652e-05,6.689023371864167e-07,2.0349967119748236e-05,2.1018864922117686e-05,5.1396159779670825e-05,8.767565094698397e-07,125,True,True,4.455116831003636e-14,1.3557236670003476
primary-2703-B,2703,B,intact,10,4.5548408524109796e-05,2.8854072867678937e-06,4.26630012373419e-05,4.5548398380668154e-05,0.00017677733773757698,3.030320169493635e-06,218,True,True,2.233699336606776e-13,1.3583057910000207
control-freeze-A,2701,A,freeze,10,0.0,0.0,0.0,0.0,0.0,0.0,0,True,,8.545155097627602e-65,0.5971398749989021
control-freeze-B,2701,B,freeze,10,0.0,0.0,0.0,0.0,0.0,0.0,0,True,,1.1070425147741955e-64,0.5925520830005553
control-silence_dan-A,2701,A,silence_dan,10,0.0,0.0,0.0,0.0,0.0,0.0,0,True,,8.545155097627602e-65,0.7685972499984928
control-silence_dan-B,2701,B,silence_dan,10,0.0,0.0,0.0,0.0,0.0,0.0,0,True,,1.1070425147741955e-64,0.7707577500004845
control-remove_da_contacts-A,2701,A,remove_da_contacts,10,0.0,0.0,0.0,0.0,0.0,0.0,0,True,,8.545155097627602e-65,0.7554089160003059
control-remove_da_contacts-B,2701,B,remove_da_contacts,10,0.0,0.0,0.0,0.0,0.0,0.0,0,True,,1.1070425147741955e-64,0.8202576250005222
control-cut_feedback-A,2701,A,cut_feedback,10,1.4843816035559065e-05,6.434562482837691e-08,1.4779470410730688e-05,1.4843812490838992e-05,3.0191738579987693e-05,4.023997022694748e-07,98,True,,2.435031343228644e-14,0.7574961249993066
control-cut_feedback-B,2701,B,cut_feedback,10,2.0122663702881738e-05,2.1773048575202125e-07,1.9904933217129717e-05,2.012265924988821e-05,6.905975089044336e-05,1.3306679405654853e-06,181,True,,7.133182933216631e-14,0.8177952080004616
control-matched_control-A,2701,A,matched_control,10,1.6538498606943897e-05,7.19329955600756e-08,1.646656561138382e-05,1.653849475580227e-05,3.365065367655351e-05,4.4808736255814754e-07,98,True,,2.64102975600089e-14,0.7721533330004604
control-matched_control-B,2701,B,matched_control,10,2.301016679151502e-05,2.4878270921124823e-07,2.276138408230377e-05,2.3010161814607244e-05,7.882935528635837e-05,1.5228733216960527e-06,181,True,,7.961686865343154e-14,0.7555674159993941
control-remove_pn_kc-A,2701,A,remove_pn_kc,10,0.0,0.0,0.0,0.0,0.0,0.0,0,True,,8.582075993071226e-65,0.7581702499992389
control-remove_pn_kc-B,2701,B,remove_pn_kc,10,0.0,0.0,0.0,0.0,0.0,0.0,0,True,,8.237879436268469e-65,0.7615357499998936
control-remove_kc_mbon-A,2701,A,remove_kc_mbon,10,0.0,0.0,0.0,0.0,3.0221030051569286e-05,4.027939281448959e-07,98,True,,8.545233420755861e-65,0.7569252499997674
control-remove_kc_mbon-B,2701,B,remove_kc_mbon,10,0.0,0.0,0.0,0.0,6.906030959685783e-05,1.3306709975746767e-06,181,True,,1.10704256108008e-64,0.7567621670004883
control-shuffle_pn_weights-A,2701,A,shuffle_pn_weights,10,1.9422905595423146e-05,6.573303346080195e-09,1.9416332292077065e-05,1.9422901122223557e-05,4.066847500783233e-05,6.71259329139619e-07,113,True,,3.6176790729758324e-14,0.8742769999989832
control-shuffle_pn_weights-B,2701,B,shuffle_pn_weights,10,1.8203996263843614e-05,7.922088651746151e-09,1.8196074175191868e-05,1.8203992324883345e-05,6.514073925611985e-05,9.305654977866204e-07,147,True,,6.350649173203493e-14,0.8746273750002729
control-no_apl-A,2701,A,no_apl,10,1.664306653503811e-05,7.329705364877981e-08,1.656976948138933e-05,1.6643062665355757e-05,3.389700089773129e-05,4.5172661060856064e-07,98,True,,2.6575963651964685e-14,0.7566486670002632
control-no_apl-B,2701,B,no_apl,10,2.3448478768339776e-05,2.573566141306216e-07,2.3191122154209154e-05,2.3448473711717988e-05,8.036571741620868e-05,1.5583058872229525e-06,181,True,,8.141924634497144e-14,0.7552636250002251
control-no_ambiguous-A,2701,A,no_ambiguous,10,1.5756224655216755e-05,6.850144695924598e-08,1.568772320825751e-05,1.5756220947071853e-05,3.202835468629761e-05,4.266648200143783e-07,98,True,,2.5424107263916085e-14,0.7577577920001204
control-no_ambiguous-B,2701,B,no_ambiguous,10,2.157613615483278e-05,2.333955387845421e-07,2.134274061604824e-05,2.1576131440714796e-05,7.394220622347625e-05,1.4264508507641116e-06,181,True,,7.541883784156767e-14,0.755752457998824
exposures-0-A,2701,A,intact,0,0.0,0.0,0.0,0.0,0.0,0.0,0,True,,0.0,0.7569402910012286
exposures-0-B,2701,B,intact,0,0.0,0.0,0.0,0.0,0.0,0.0,0,True,,0.0,0.7603117910002766
exposures-1-A,2701,A,intact,1,1.6318029684159185e-06,7.100667720472131e-09,1.6247023006954464e-06,1.6318029684159185e-06,3.321344037687801e-06,4.420903981523138e-08,98,True,,1e-323,0.7573459169998387
exposures-1-B,2701,B,intact,1,2.2838752946618968e-06,2.4706270584928802e-08,2.259169024076968e-06,2.2838752946618968e-06,7.82863307646764e-06,1.511201916499014e-07,181,True,,1e-323,0.7562402920011664
sensitivity-eta_half-A,2701,A,intact,10,8.303555910305072e-06,3.613242693933927e-08,8.267423483365732e-06,8.303553978628031e-06,1.690087232397719e-05,2.2496133531226663e-07,98,True,,1.324027693039298e-14,0.7542681249997258
sensitivity-eta_half-B,2701,B,intact,10,1.1621650470305944e-05,1.257200354931598e-07,1.1495930434812784e-05,1.1621647961201909e-05,3.983611638647133e-05,7.689857960405469e-07,181,True,,4.016231791581504e-14,0.7563054170004762
sensitivity-eta_double-A,2701,A,intact,10,3.321357617092069e-05,1.4452917451723835e-07,3.306904699640345e-05,3.321356844443457e-05,6.760165303454357e-05,8.998328124169634e-07,98,True,,5.297325078590376e-14,0.7562267499997688
sensitivity-eta_double-B,2701,B,intact,10,4.64853076754812e-05,5.028761702607909e-07,4.598243150522041e-05,4.6485297639287104e-05,0.00015933442268878384,3.0758763036793558e-06,181,True,,1.6063365915197636e-13,0.7543216249996476
sensitivity-gain075-A,2701,A,intact,10,5.535094221520431e-06,4.678879506059275e-11,5.535047432725371e-06,5.535092864383806e-06,9.981029854500001e-06,8.924530522948142e-08,50,True,,3.2356929635657394e-15,0.754093916999409
sensitivity-gain075-B,2701,B,intact,10,5.78329870271066e-06,1.4316436924843856e-10,5.783155538341411e-06,5.783297458150649e-06,2.002424058900054e-05,2.628618454115044e-07,136,True,,7.548649205713076e-15,0.7541789580009208
sensitivity-gain125-A,2701,A,intact,10,4.067817195840817e-05,3.490938432770818e-07,4.032907811513109e-05,4.067816274910818e-05,8.844456621592833e-05,1.4762063792992494e-06,120,True,,1.2991344111590308e-13,0.7557391249993088
sensitivity-gain125-B,2701,B,intact,10,6.329945471161835e-05,1.197978336642258e-06,6.21014763749761e-05,6.329944102412277e-05,0.00021234270674486133,5.003765509029531e-06,213,True,,4.4257653097901084e-13,0.7597298750006303
sensitivity-threshold010-A,2701,A,intact,10,2.4538065384827057e-05,2.8053826806040405e-07,2.4257527116766653e-05,2.453805973035017e-05,5.454541427107884e-05,1.0582502537924185e-06,147,True,,6.098246907448868e-14,0.7543534579999687
sensitivity-threshold010-B,2701,B,intact,10,3.7265690736476564e-05,8.908886293124141e-07,3.637480210716415e-05,3.726568254236451e-05,0.0001228013770622205,3.288972532816057e-06,234,True,,2.012140454255018e-13,0.7549186249998456
sensitivity-threshold020-A,2701,A,intact,10,1.210896733483402e-05,9.708278625453204e-11,1.2108870252047765e-05,1.210896445136278e-05,2.1646696790056374e-05,1.9414831141632698e-07,50,True,,1.2123982373601905e-14,0.7546048330004851
sensitivity-threshold020-B,2701,B,intact,10,1.4224072814150723e-05,3.2954616813185567e-10,1.4223743267982591e-05,1.4224069792789784e-05,4.9291699823594826e-05,6.458590693103641e-07,136,True,,3.259718883708018e-14,0.7541034580008272
sensitivity-feedback0-A,2701,A,intact,10,1.3916626781629304e-05,6.022356424661979e-08,1.3856403217382685e-05,1.3916623406329265e-05,2.8332418100962542e-05,3.773469402389348e-07,98,True,,2.320539593814175e-14,0.7578023749993008
sensitivity-feedback0-B,2701,B,intact,10,1.8212227501757106e-05,1.9697283260011744e-07,1.8015254669156988e-05,1.8212223397817695e-05,6.250261276097291e-05,1.2043230373231512e-06,181,True,,6.572693778128524e-14,0.7554016670001147
sensitivity-feedback02-A,2701,A,intact,10,1.929736514771907e-05,8.430593512187556e-08,1.9213059212597194e-05,1.9297360796532992e-05,3.94185938680236e-05,5.22493894275727e-07,98,True,,2.9769589571237987e-14,0.7837836670005345
sensitivity-feedback02-B,2701,B,intact,10,2.8273889025043353e-05,3.0590571364896846e-07,2.7967983311394384e-05,2.827388309201151e-05,9.683815110339555e-05,1.871594925292434e-06,181,True,,9.491886443502295e-14,0.755047624999861
sensitivity-half_dt-A,2701,A,intact,10,1.6408746992935264e-05,7.109846145159082e-08,1.6337648531483673e-05,1.6408742917417563e-05,3.342029269548519e-05,4.440118640012203e-07,98,True,,2.7946395197986362e-14,1.4896798750014568
sensitivity-half_dt-B,2701,B,intact,10,2.2948677950607177e-05,2.474815889996762e-07,2.27011963616075e-05,2.294867266550149e-05,7.87888637955314e-05,1.5174291854204402e-06,181,True,,8.459552502948497e-14,1.4877251249999972
sensitivity-recovery900-A,2701,A,intact,10,1.62588855324719e-05,7.075043029214356e-08,1.6188135102179757e-05,1.6258881670005998e-05,3.3105811370393035e-05,4.4066267169646297e-07,98,True,,2.6482288584261937e-14,0.7543056659997092
sensitivity-recovery900-B,2701,B,intact,10,2.2755937507445978e-05,2.46170686168945e-07,2.2509766821277033e-05,2.2755932490015063e-05,7.803116601867721e-05,1.5063179904505016e-06,181,True,,8.031075804382226e-14,0.755398041999797
sensitivity-recovery3600-A,2701,A,intact,10,1.6784633661059978e-05,7.303746185627347e-08,1.6711596199203704e-05,1.6784629797705897e-05,3.415631256264984e-05,4.5464349426098744e-07,98,True,,2.6490094839903833e-14,0.7568125840007269
sensitivity-recovery3600-B,2701,B,intact,10,2.3491655200325035e-05,2.5412779780520367e-07,2.323752740251983e-05,2.3491650181561852e-05,8.05068933799058e-05,1.554102782655381e-06,181,True,,8.032463583163008e-14,0.7674899169996934
sensitivity-apl05-A,2701,A,intact,10,1.6614437168827045e-05,7.273267987883969e-08,1.6541704488948206e-05,1.6614433304029674e-05,3.382510969718311e-05,4.505163688874296e-07,98,True,,2.6516983053781473e-14,0.7574229170004401
sensitivity-apl05-B,2701,B,intact,10,2.3308376697506183e-05,2.539654626598775e-07,2.3054411234846306e-05,2.3308371666863614e-05,7.988218796950441e-05,1.5455600851968028e-06,181,True,,8.074270418934049e-14,0.8167016660008812
sensitivity-apl2-A,2701,A,intact,10,1.659220928007521e-05,7.13339793900758e-08,1.6520875300685134e-05,1.659220541971873e-05,3.375422013196516e-05,4.487327176980756e-07,98,True,,2.6419838539126772e-14,0.7549214579994441
sensitivity-apl2-B,2701,B,intact,10,2.311451058778502e-05,2.464621876585582e-07,2.286804840012646e-05,2.3114505593557766e-05,7.925155066379475e-05,1.5229542058068676e-06,181,True,,7.948676439273328e-14,0.7568647499992949
sensitivity-boundary_retained-A,2701,A,intact,10,7.83986413147586e-05,7.793568063130252e-07,7.761928450844557e-05,7.839862374270368e-05,0.00017070051763856675,2.8976693638124598e-06,123,True,,2.8171388832820554e-13,0.7578866670010029
sensitivity-boundary_retained-B,2701,B,intact,10,0.0001325496469365417,2.7177481568552153e-06,0.00012983189877968648,0.0001325496182242869,0.000512363077733502,1.008228172976199e-05,214,True,,9.990341887089471e-13,0.7554880419993424
sensitivity-boundary_roles-A,2701,A,intact,10,0.011939786220998783,0.0005326472346139921,0.01140713898638479,0.01193978351490177,0.020581729205174093,0.001404960044513985,250,True,,3.602940168434543e-10,0.768180458999268
sensitivity-boundary_roles-B,2701,B,intact,10,0.013399040343138324,0.0006797171509114186,0.012719323192226906,0.013399037530219204,0.017159726212418458,0.0019689728694839955,357,True,,7.343581298613344e-10,0.7702556249987538
