condition,MB11_resource_contrast,LH_resource_contrast,MB11_experience_low,LH_experience_low,PN_resource_contrast,KC_resource_contrast,reset_max_delta
primary-3703-A,0.000686407895457597,-1.0715106113501349e-07,-0.0003418603763015726,5.314236850573195e-08,8.281468844018036e-10,1.3114969998895276e-08,6.938893903907228e-18
primary-3703-B,0.0006642548633182255,-7.817524294573275e-08,-0.0003261201832874816,3.819206995103741e-08,6.689195863884834e-10,1.0815230266914e-08,3.469446951953614e-18
primary-3702-B,0.0011865542930935558,-4.193090175075298e-08,-0.0006053647410213525,2.1494635626950753e-08,9.96777549389094e-10,-1.8599249351769487e-07,6.938893903907228e-18
primary-3702-A,0.0006212354728067915,-7.525138456809799e-08,-0.00031534606940319954,3.8372008015485903e-08,1.4583934060397041e-10,-9.968257064230102e-08,3.469446951953614e-18
primary-3701-B,0.0004958432998258822,-9.471379591730056e-08,-0.00023822375200599488,4.567714251280108e-08,2.0131074585094666e-10,-4.409433196350676e-08,6.776263578034403e-21
primary-3701-A,0.0005377438338356466,-3.6524761659606497e-07,-0.00026144405390648995,1.7768778315385703e-07,3.680107329984139e-10,-3.6070041398161834e-09,8.673617379884035e-19
control-silence_dan-A,0.0,0.0,0.0,0.0,0.0,0.0,1.0496542402320889e-127
control-silence_dan-B,0.0,0.0,0.0,0.0,0.0,0.0,6.551901114352166e-128
control-silence_mb11-A,,0.0,,0.0,0.0,0.0,1.0495942842530542e-127
control-silence_mb11-B,,0.0,,0.0,0.0,0.0,6.5517165923773e-128
control-silence_mb18-A,0.0005377447789969292,1.465684396073641e-08,-0.0002614445322942638,-7.139988600357583e-09,3.8866887486221913e-10,-3.604162968073865e-09,3.469446951953614e-18
control-silence_mb18-B,0.0004958451060654845,2.306298263476947e-09,-0.00023822462156009028,-1.1029073210266915e-09,2.1892243573518044e-10,-4.4095404327926246e-08,1.2705494208814505e-21
control-silence_oa-A,0.0005377363655403311,-3.6524527546877295e-07,-0.00026144042546749624,1.7768664384298916e-07,3.6800829050775974e-10,-3.606990817139888e-09,3.469446951953614e-18
control-silence_oa-B,0.0004958411127060636,-9.471358741741653e-08,-0.00023822269954743014,4.567704126046124e-08,2.0131052380634173e-10,-4.409430398588654e-08,3.469446951953614e-18
control-remove_da_gate-A,0.0,0.0,0.0,0.0,0.0,0.0,1.0496542402320889e-127
control-remove_da_gate-B,0.0,0.0,0.0,0.0,0.0,0.0,6.551901114352166e-128
control-freeze_modulation-A,0.0,0.0,-0.00043578851929659823,2.9615196139864963e-07,0.0,0.0,5.204170427930421e-18
control-freeze_modulation-B,0.0,0.0,-0.000397084180356444,7.613014663121476e-08,0.0,0.0,1.734723475976807e-18
control-freeze_plasticity-A,0.00017080778449707346,-1.1636002195114514e-07,0.0,0.0,1.1658074505760396e-10,-1.2327151521773771e-09,1.049654232541933e-127
control-freeze_plasticity-B,0.00016151841837519498,-3.073434595712854e-08,0.0,0.0,6.68831656724933e-11,-1.385903936057531e-08,6.551901092037627e-128
control-matched_control-A,0.0005377457239312822,-3.6523492019657766e-07,-0.00026144499043512237,1.776816278553639e-07,3.696269956776632e-10,-3.599471387616404e-09,6.938893903907228e-18
control-matched_control-B,0.0004958480089540807,-9.470973261205273e-08,-0.000238226016248122,4.5675168758307905e-08,2.0405677148005452e-10,-4.4087415607130254e-08,5.421010862427522e-20
control-remove_pn_kc-A,,0.0,,0.0,0.0,,4.2420038810496026e-128
control-remove_pn_kc-B,,0.0,,0.0,0.0,,4.3076149852539235e-128
control-remove_mb11_mb18-A,0.0005377438344424945,1.2762730206006268e-08,-0.0002614440540794627,-6.222040216385949e-09,3.886022614807416e-10,-3.6041639672745873e-09,5.204170427930421e-18
control-remove_mb11_mb18-B,0.000495843300367449,2.1965393948164547e-09,-0.00023822375224424874,-1.0476401968162463e-09,2.2200308258391033e-10,-4.409113574244117e-08,2.7755575615628914e-17
control-remove_mb18_lh-A,0.0005377438336258145,1.4527342218073613e-08,-0.000261444053797133,-7.0769949900295614e-09,3.680229454516848e-10,-3.6070032516377637e-09,6.938893903907228e-18
control-remove_mb18_lh-B,0.0004958432997588247,2.9278306445945645e-09,-0.00023822375197035672,-1.4049214014377753e-09,2.013218480811929e-10,-4.409433096430604e-08,6.938893903907228e-18
control-shuffle_pn_weights-A,0.000535903734982357,-3.7377745931710393e-07,-0.0002589536629739042,1.8070306873063657e-07,3.68851615917265e-10,-3.3794926856955954e-09,1.734723475976807e-18
control-shuffle_pn_weights-B,0.00041356145984394743,-6.408277730685086e-08,-0.0001948356852221611,3.0139786222349585e-08,1.7691825782151227e-10,-2.0523521659931987e-08,1.3877787807814457e-17
control-no_apl-A,0.0005500852711302073,-3.9495511505727166e-07,-0.0002676020553351588,1.9227940439847657e-07,-1.6578294292912688e-11,-6.947321018468955e-08,3.469446951953614e-18
control-no_apl-B,0.0005083814336392933,-1.0074735301568438e-07,-0.00024445813030737895,4.8622334380965526e-08,-2.4766189099523217e-11,-8.36109256274753e-08,3.469446951953614e-18
