level,family,arm,root_id,stimulus,seed,peak_model_rate,integral_model_rate_s,peak_time_after_onset_s,sensory_peak_sum,trace_path
L0,primary,intact,720575940623047629,expand,17,0.0005080927685787329,0.00024205777266373508,0.33000000000000007,0.785824455780196,traces/2a7e8ac2a8b675ae88d688fd5b93fd4d02aff9d6c31778748805a71397d9ce94.npz
L0,primary,intact,720575940623047629,recede,17,0.0016051647014277168,0.0020835572527195673,1.415,1.1647866883607065,traces/c87c775d66763ba46c12155f5875dd43e5016491e9262ee0faf5e21078e0a98c.npz
L0,primary,intact,720575940623047629,dim,17,0.0,0.0,0.0,0.0,traces/91f98c15c3c7b030f752c5aeb02b9c75f4a8c7c6d98626c8c261ea637a12d0ae.npz
L0,primary,intact,720575940623047629,translate,17,0.0009706708199508383,0.0005093522069030207,1.08,1.0419172747256367,traces/0cdc4b5b54e7d37d69a4abfe68f2fa534becbd99f7af33aaaffd10d95b8d2405.npz
L0,primary,intact,720575940623047629,grating_0,17,0.0009546294835092008,0.0009257974174525284,1.08,1.146174012634744,traces/75962dc34143596376d21adad941955506545ccaee999a24e2f0f54b0c042928.npz
L0,primary,intact,720575940623047629,grating_90,17,0.0019894818674833243,0.0031390508030259496,2.005,2.174963157516685,traces/191e691f8711d7bb57e78aa704508abbfa2d014cc92e5008dbdb639cec4a1a54.npz
L0,primary,intact,720575940623047629,grating_180,17,0.002906161835610825,0.003570966891406723,2.0300000000000002,1.541651323931052,traces/f2314538605ff69f21888e75d8bde2a5485b3670b4f9963e85d175b437917568.npz
L0,primary,intact,720575940623047629,grating_270,17,0.0009084132470928522,0.0009008040537493848,1.27,3.4461712592661806,traces/88afd78088602237d69d6878530465521cbec8640149f4adcbc59b45685aaaca.npz
L0,primary,intact,720575940623047629,approach_20,17,0.0006955919866657513,0.00017124845257910333,0.3849999999999998,2.0886491040106123,traces/cb8ad746b47970dc210ddfcbae6c67929348959fe440e1ac0abbfadb99491d69.npz
L0,primary,intact,720575940623047629,approach_40,17,0.0005195941585159011,0.00021268276270884195,0.7149999999999999,2.3340528179017084,traces/cabf35c126e9039f40e664bedf6fc1957904d78f5cc593694e440db90cca9809.npz
L0,primary,intact,720575940623047629,approach_80,17,0.00043743474489797165,0.0002385906170995069,1.005,2.405441161880333,traces/a87590089d5c60a07b14abc6a6638cdc51e22b1a11a287fe069ea4bffc179e1a.npz
L0,primary,intact,720575940623047629,bright,17,0.00028921541003490154,0.00012032643857777087,0.6099999999999999,0.7702551296753936,traces/565a41912f34fb7815cf5b4a0ba8368e9d815783d52be6638478426ffbcf4b33.npz
L0,primary,intact,720575940623047629,small,17,0.0005080927685787329,0.00024252033688247927,0.33000000000000007,0.5931036124414136,traces/ce109c0a4e7bf3574032c10d0aeed690240df73e104d26c73369314e856adfe5.npz
L0,primary,intact,720575940623047629,offset,17,0.00023639193382890496,0.00016727817728939996,2.2800000000000002,0.5878025681210105,traces/7c4df13e625a7f960af45e479fbd7c19c60c30d5ffc5238e9e705b91770b53ba.npz
L0,primary,intact,720575940623047629,shuffle_time,17,0.003634544025147394,0.008218455704731583,2.13,3.479030742022828,traces/f166289e0b2afff66174370a79f5c8d2667d550cd85f1e44432caad4ff0cbbcb.npz
L0,primary,intact,720575940623047629,blank,17,0.0,0.0,0.0,0.0,traces/5d746e5e8cd39958a308822ee87a61b1482d3d4729d53e141713facb581347e9.npz
L0,sensitivity,spacing3,720575940623047629,expand,17,0.00046998730284092443,0.00017392065197898335,0.16999999999999993,1.0740029753462217,traces/3b1760f52470f89be4dcefb04e0fb902ce056e8313ac9fe0cadbcae6431824f8.npz
L0,sensitivity,spacing3,720575940623047629,recede,17,0.002102656114306991,0.0021436914181520894,2.075,1.7107601043930445,traces/a6173bf4354049de46c7afd7079f6f687b3e8079916345c90dfbd5475ccc0cb7.npz
L0,sensitivity,spacing3,720575940623047629,dim,17,0.0,0.0,0.0,0.0,traces/ef8e112d5bb710fdecc1c55efee59e72979923badaeb6efb801b1ff4991c4d74.npz
L0,sensitivity,spacing3,720575940623047629,grating_0,17,0.0008325945399083229,0.0009854324725473245,1.705,0.9414483759985038,traces/0952a0de4602b55aa8c2923fc944349aead54f3733bd222df95da8b8d23087b0.npz
L0,sensitivity,spacing3,720575940623047629,grating_90,17,0.002256813277385097,0.0031769247405563474,1.6949999999999998,2.447985111715938,traces/f04dd5ef366b5c6f8bfea567aa09c75a5e9a1e4a80a6fd80b9e006e0db82e378.npz
L0,sensitivity,spacing3,720575940623047629,grating_180,17,0.0025982083955566684,0.003693012840594208,1.915,1.8365252394646627,traces/5b5617435659228165aaf8fb8efb93abd380d46e6d81cf36dda1c6ad1b4e6945.npz
L0,sensitivity,spacing3,720575940623047629,grating_270,17,0.0011081892772999424,0.0013606628073141334,1.3900000000000001,4.6338655271868445,traces/61cf1d0c52753044d8ecef12e391cc7df33fa6ae75bb8cbba9602889228ab3eb.npz
L0,sensitivity,spacing7,720575940623047629,expand,17,0.0004701143843883433,0.00025748157418453027,0.5350000000000001,0.4954035318442215,traces/a158f28d2e062bb817c7ec5d9d59e344833bbc7d06fe1119e4f6f5dafac83b2b.npz
L0,sensitivity,spacing7,720575940623047629,recede,17,0.0013677209173627125,0.0014715268874013726,0.7349999999999999,0.8005333790191338,traces/827ccf100c51f8ce53ed60d502aab36c0925f684e2997d6c21dd6b561127512d.npz
L0,sensitivity,spacing7,720575940623047629,dim,17,0.0,0.0,0.0,0.0,traces/6235657798038dcff3346615eaf1b151cbea483a113beb7111092a3c74869899.npz
L0,sensitivity,spacing7,720575940623047629,grating_0,17,0.00040016998041379016,0.00031464864338790117,1.1949999999999998,0.8328716944320376,traces/cf3c82667bfb619635cc46ef9d4d2209b0cfccd4ec6a8715aa6f4197c7edd62a.npz
L0,sensitivity,spacing7,720575940623047629,grating_90,17,0.0017350428499144726,0.0024082789639658896,1.21,1.3437597000689956,traces/5a35d88bc5144c31284b904e878b89a83c79dce052c91d5487c35de77e801823.npz
L0,sensitivity,spacing7,720575940623047629,grating_180,17,0.002145152348001571,0.0030766429592947353,1.2000000000000002,0.9418260790440065,traces/7c36213416e040806f5e36fbcc93f1a58febd485ea6b10fd2c5b7db30bee1c01.npz
