id,name,type,skid
5427852,Putative Mi1 5427852 HL,neuron,5427851
6769909,Putative Mi1 6769909 HL,neuron,6769908
6884009,Putative Mi1 6884009 HL,neuron,6884008
7180493,Putative Mi1 7180493 HL,neuron,7180492
8772554,Putative Mi1 8772554 JSL HL,neuron,8772553
8779685,Putative Mi1 8779685 HL,neuron,8779684
10148426,Putative Mi1 10148426 HL,neuron,10148425
10850335,Putative Mi1 10850335 MF,neuron,10850334
10885807,Putative Mi1 10885807 MF,neuron,10885806
10888498,Putative Mi1 10888498 MF,neuron,10888497
10918455,Putative Mi1 10918455 MF,neuron,10918454
10922201,Putative Mi1 10922201 MF,neuron,10922200
10931347,Putative Mi1 10931347 MF,neuron,10931346
10932669,Putative Mi1 10932669 MF,neuron,10932668
10934338,Putative Mi1 10934338 MF,neuron,10934337
10937289,Putative Mi1 10937289 MF HL,neuron,10937288
10944918,Putative Mi1 10944918 MF,neuron,10944917
10952964,Putative Mi1 10952964 MF,neuron,10952963
11053046,Putative Mi1 11053046 MF,neuron,11053045
11053813,Putative Mi1 11053813 MF,neuron,11053812
11063881,Putative Mi1 11063881 MF,neuron,11063880
11071381,Putative Mi1 11071381 MF HL,neuron,11071380
11081721,Putative Mi1 11081721 MF,neuron,11081720
11110948,Putative Mi1 11110948 MF,neuron,11110947
11119457,Putative Mi1 11119457 MF,neuron,11119456
11131688,Putative Mi1 11131688 MF,neuron,11131687
11140306,Putative Mi1 11140306 MF,neuron,11140305
11170410,Putative Mi1 11170410 MF,neuron,11170409
11178744,Putative Mi1 11178744 MF,neuron,11178743
11212870,Putative Mi1 11212870 MF,neuron,11212869
11228976,Putative Mi1 11228976 MF,neuron,11228975
11231891,Putative Mi1 11231891 MF,neuron,11231890
11247175,Putative Mi1 11247175 MF,neuron,11247174
11249204,Putative Mi1 11249204 MF,neuron,11249203
11250043,Putative Mi1 11250043 MF,neuron,11250042
11250865,Putative Mi1 11250865 MF,neuron,11250864
11255033,Putative Mi1 11255033 MF,neuron,11255032
11458128,Putative Mi1 col A1 11458128 CL,neuron,11458127
11470015,Putative Mi1 col G1 11470015 MF,neuron,11470014
11471702,Putative Mi1 col I1 11471702 HL,neuron,11471701
11472781,Putative Mi1 col H1 11472781 CL,neuron,11472780
11829851,Putative Mi1 11829851 HL,neuron,11829850
12656600,Putative Mi1 12656600 MF,neuron,12656599
12657734,Putative Mi1 12657734 MF,neuron,12657733
12667795,Putative Mi1 12667795 HL,neuron,12667794
12674022,Putative Mi1 12674022 MF,neuron,12674021
12676557,Putative Mi1 12676557 HL,neuron,12676556
12676764,Putative Mi1 12676764 MF,neuron,12676763
12678947,Putative Mi1 12678947 MF,neuron,12678946
12761685,Putative Mi1 12761685 MF,neuron,12761684
12791003,Putative Mi1 12791003 MF,neuron,12791002
12799953,Putative Mi1 12799953 MF,neuron,12799952
12801855,Putative Mi1 12801855 MF,neuron,12801854
12803536,Putative Mi1 12803536 MF,neuron,12803535
12814942,Putative Mi1 12814942 MF,neuron,12814941
12816236,Putative Mi1 12816236 MF,neuron,12816235
12817306,Putative Mi1 12817306 MF,neuron,12817305
12817677,Putative Mi1 12817677 MF,neuron,12817676
12823146,Putative Mi1 12823146 MF,neuron,12823145
12825137,Putative Mi1 12825137 MF,neuron,12825136
12826775,Putative Mi1 12826775 MF,neuron,12826774
12827856,Putative Mi1 12827856 MF,neuron,12827855
12843386,Putative Mi1 12843386 MF,neuron,12843385
12847194,Putative Mi1 12847194 MF,neuron,12847193
12848679,Putative Mi1 12848679 MF,neuron,12848678
12862069,Putative Mi1 12862069 HL,neuron,12862068
12868530,Putative Mi1 12868530 MF,neuron,12868529
12869642,Putative Mi1 12869642 MF,neuron,12869641
12870629,Putative Mi1 12870629 MF,neuron,12870628
12871842,Putative Mi1 12871842 MF,neuron,12871841
12872381,Putative Mi1 12872381 MF,neuron,12872380
12878061,Putative Mi1 12878061 MF,neuron,12878060
12878415,Putative Mi1 12878415 MF,neuron,12878414
12879026,Putative Mi1 12879026 MF,neuron,12879025
12879910,Putative Mi1 12879910 MF,neuron,12879909
12880438,Putative Mi1 12880438 MF,neuron,12880437
12880772,Putative Mi1 12880772 MF,neuron,12880771
12883279,Putative Mi1 12883279 MF,neuron,12883278
12884507,Putative Mi1 12884507 MF,neuron,12884506
12885688,Putative Mi1 12885688 MF,neuron,12885687
12888002,Putative Mi1 12888002 MF,neuron,12888001
12888269,Putative Mi1 12888269 MF,neuron,12888268
12895602,Putative Mi1 12895602 MF,neuron,12895601
12896681,Putative Mi1 12896681 MF,neuron,12896680
12897220,Putative Mi1 12897220 MF,neuron,12897219
12897449,Putative Mi1 12897449 MF,neuron,12897448
12897918,Putative Mi1 12897918 MF,neuron,12897917
12904929,Putative Mi1 12904929 MF,neuron,12904928
12906329,Putative Mi1 12906329 MF,neuron,12906328
12907734,Putative Mi1 12907734 MF,neuron,12907733
12908500,Putative Mi1 12908500 MF,neuron,12908499
12914127,Putative Mi1 12914127 MF,neuron,12914126
12917647,Putative Mi1 12917647 MF,neuron,12917646
12922031,Putative Mi1 12922031 MF,neuron,12922030
12922162,Putative Mi1 12922162 HL,neuron,12922161
12922276,Putative Mi1 12922276 MF,neuron,12922275
12922393,Putative Mi1 12922393 MF,neuron,12922392
12922501,Putative Mi1 12922501 MF,neuron,12922500
12922720,Putative Mi1 12922720 MF,neuron,12922719
12923540,Putative Mi1 12923540 MF,neuron,12923539
12925607,Putative Mi1 12925607 MF,neuron,12925606
12925821,Putative Mi1 12925821 HL,neuron,12925820
12925884,Putative Mi1 12925884 MF,neuron,12925883
12940057,Putative Mi1 12940057 MF,neuron,12940056
12941925,Putative Mi1 12941925 MF,neuron,12941924
12943306,Putative Mi1 12943306 MF,neuron,12943305
12952232,Putative Mi1 12952232 MF,neuron,12952231
12968974,Putative Mi1 12968974 HL,neuron,12968973
12976453,Putative Mi1 12976453 HL,neuron,12976452
13039515,Putative Mi1 13039515 MF,neuron,13039514
13046674,Putative Mi1 13046674 MF,neuron,13046673
13048186,Putative Mi1 13048186 MF,neuron,13048185
13059439,Putative Mi1 13059439 MF,neuron,13059438
13059922,Putative Mi1 13059922 MF,neuron,13059921
13060710,Putative Mi1 13060710 MF,neuron,13060709
13061358,Putative Mi1 13061358 MF,neuron,13061357
13061845,Putative Mi1 13061845 MF,neuron,13061844
13062936,Putative Mi1 13062936 MF,neuron,13062935
13072343,Putative Mi1 13072343 MF,neuron,13072342
13073676,Putative Mi1 13073676 MF,neuron,13073675
13104378,Putative Mi1 13104378 MF,neuron,13104377
13106121,Putative Mi1 13106121 MF,neuron,13106120
13107903,Putative Mi1 13107903 MF,neuron,13107902
13123483,Putative Mi1 13123483 MF,neuron,13123482
13125799,Putative Mi1 13125799 MF,neuron,13125798
13128491,Putative Mi1 13128491 MF,neuron,13128490
13139534,Putative Mi1 13139534 MF,neuron,13139533
13142116,Putative Mi1 13142116 MF,neuron,13142115
13142970,Putative Mi1 13142970 MF,neuron,13142969
13144348,Putative Mi1 13144348 HL,neuron,13144347
13230087,Putative Mi1 13230087 HL,neuron,13230086
