family,candidate,n_recordings,median_rmse_mV,min_rmse_mV,max_rmse_mV
apparent_motion,Z,17,5.648501173601618,3.857702831959144,8.492920006810156
apparent_motion,B0,17,5.648501173601618,3.857702831959144,8.492920006810156
apparent_motion,B1s,17,3.293587424714045,2.1422410109525147,5.50270424656645
apparent_motion,B1t,17,3.0405612669140436,1.9313548410099837,5.1863509841351005
apparent_motion,B1d,17,2.7627104298627727,1.897759267220804,4.299204448044479
apparent_motion,SELECTED,17,3.3628406498261825,1.9836066471757705,4.869997989496522
drifting_grating,Z,11,7.0105151738982405,4.96454583685696,9.265667786735998
drifting_grating,B0,11,7.0105151738982405,4.96454583685696,9.265667786735998
drifting_grating,B1s,11,23.524436761516146,15.940501837604033,29.99663468943721
drifting_grating,B1t,11,25.809430030619094,16.21876814138355,29.857153734053934
drifting_grating,B1d,11,13.105207807103794,7.48137052472692,24.113895138517442
drifting_grating,SELECTED,11,23.396620820921544,12.575869242898289,29.99663468943721
flash,Z,17,3.9250444868242447,2.266335279894331,6.0195390005107186
flash,B0,17,3.9250444868242447,2.266335279894331,6.0195390005107186
flash,B1s,17,2.6828994026580038,1.47250319408196,3.810004826727102
flash,B1t,17,2.6376774654281974,1.3935583602458956,3.7416129014305275
flash,B1d,17,2.1051815283075896,1.280032582336848,3.0069004641870065
flash,SELECTED,17,2.6431594673078336,1.47250319408196,3.538445053281396
moving_bar,Z,17,6.972172805040455,5.395939498801729,9.669723248453726
moving_bar,B0,17,6.972172805040455,5.395939498801729,9.669723248453726
moving_bar,B1s,17,7.716855576449371,6.460492627593652,11.916944337999924
moving_bar,B1t,17,8.459906320839789,6.70080786045489,11.69851564698784
moving_bar,B1d,17,6.268885734985882,3.905983571460178,9.236737979499539
moving_bar,SELECTED,17,7.716855576449371,5.3034710929986755,10.91618565724568
static_grating,Z,11,5.709197214809083,4.352723785414678,7.284428411926389
static_grating,B0,11,5.709197214809083,4.352723785414678,7.284428411926389
static_grating,B1s,11,5.002294190754178,3.066613420936283,6.664660867049365
static_grating,B1t,11,5.161316192142679,2.773899600477568,6.051427716998824
static_grating,B1d,11,3.252574020790007,2.240046625133844,5.124771096741339
static_grating,SELECTED,11,4.820573969323495,2.8856460210543844,5.710119229027517
