root_id,hemisphere,type,column_id,x,y,p,q,annotation_v3_1_0_type,type_match,lens_index,retinal_direction,experimental_screen_transform
720575940596125868,right,T5c,97,-5,2,6,-4,T5c,True,,,
720575940599457990,right,T4b,247,-4,-15,-4,-11,T4b,True,,,
720575940599459782,right,T5b,513,-4,-13,-3,-10,T5b,True,,,
720575940599704006,right,T5a,331,1,-15,-9,-6,T5a,True,,,
720575940599729862,right,T5a,129,0,-13,-7,-6,T5a,True,,,
720575940599733446,right,T5b,571,0,-14,-7,-7,T5b,True,,,
720575940599755718,right,T4a,16,-2,-16,-6,-10,T4a,True,,,
720575940599763910,right,T5b,741,-2,-14,-5,-9,T5b,True,,,
720575940600071689,right,T5b,81,6,-2,-7,5,T5b,True,,,
720575940600101641,right,T4a,487,1,-1,-2,1,T4a,True,,,
720575940600124169,right,T5b,272,3,-2,-4,2,T5b,True,,,
720575940600143369,right,T4a,662,2,-1,-3,2,T4a,True,,,
720575940600150793,right,T5a,325,5,1,-5,6,T5a,True,,,
720575940600547529,right,T4a,727,7,6,-4,10,T4a,True,,,
720575940600850441,right,T4c,464,4,0,-4,4,T4c,True,,,
720575940600866569,right,T5d,662,2,-1,-3,2,T5d,True,,,
720575940600934665,right,T4d,203,3,-1,-4,3,T4d,True,,,
720575940601206499,right,T4b,356,0,22,11,11,T4b,True,,,
720575940601263473,left,T4a,274,6,4,-4,8,T4a,True,,,
720575940601672201,right,T4b,265,-6,-1,5,-6,T4b,True,,,
720575940602140862,right,T5b,667,1,-28,-15,-13,T5b,True,,,
720575940602497726,right,T5c,397,-3,-19,-7,-12,T5c,True,,,
720575940602577598,right,T5a,368,-4,-20,-6,-14,T5a,True,,,
720575940602737598,right,T5a,48,-4,-22,-7,-15,T5a,True,,,
720575940602928608,right,T4c,587,4,22,7,15,T4c,True,,,
720575940603022304,left,T4a,641,-8,-5,5,-10,T4a,True,,,
720575940603339232,right,T4c,325,5,1,-5,6,T4c,True,,,
720575940603349216,left,T5d,587,4,22,7,15,T5d,True,,,
720575940603356896,right,T4d,789,-3,-27,-11,-16,T4d,True,,,
720575940603365980,right,T5a,626,-5,-8,1,-9,T5a,True,,,
720575940603373916,right,T5a,175,-6,-7,2,-9,T5a,True,,,
720575940603390380,left,T5c,663,0,8,4,4,T5c,True,,,
720575940603391712,right,T4c,379,3,-17,-12,-5,T4c,True,,,
720575940603391778,left,T5d,512,6,0,-6,6,T5d,True,,,
720575940603392546,left,T5b,204,5,-2,-6,4,T5b,True,,,
720575940603394272,right,T4c,748,-4,20,14,6,T4c,True,,,
720575940603404834,left,T5d,53,5,14,2,12,T5d,True,,,
720575940603471811,left,T5d,471,3,-26,-16,-10,T5d,True,,,
720575940603487456,left,T5d,44,5,-10,-10,0,T5d,True,,,
720575940603491957,right,T4a,391,4,-3,-6,3,T4a,True,,,
720575940603498357,right,T4d,219,6,-4,-8,4,T4d,True,,,
720575940603498613,right,T4c,566,5,-8,-9,1,T4c,True,,,
720575940603498869,right,T4b,312,4,-7,-8,1,T4b,True,,,
720575940603526005,right,T4a,682,6,-8,-10,2,T4a,True,,,
720575940603544363,left,T5d,758,5,-1,-6,5,T5d,True,,,
720575940603556981,right,T4d,698,6,-7,-10,3,T4d,True,,,
720575940603563893,right,T4c,542,6,-13,-13,0,T4c,True,,,
720575940603568757,right,T4a,268,7,-6,-10,4,T4a,True,,,
720575940603604258,left,T5b,694,4,3,-3,6,T5b,True,,,
720575940603605538,left,T4a,561,5,7,-2,9,T4a,True,,,
720575940603688226,left,T5b,458,5,0,-5,5,T5b,True,,,
720575940603714652,right,T5b,652,-6,-11,0,-11,T5b,True,,,
720575940603761836,right,T5a,239,-6,6,9,-3,T5a,True,,,
720575940603797420,right,T4c,107,8,-2,-9,7,T4c,True,,,
720575940603818464,left,T5c,63,4,12,2,10,T5c,True,,,
720575940603842476,right,T4d,83,2,-21,-13,-8,T4d,True,,,
720575940603873033,right,T5b,426,-3,0,3,-3,T5b,True,,,
720575940603904496,right,T4c,351,-1,-17,-8,-9,T4c,True,,,
720575940603940012,right,T5a,769,4,-27,-18,-9,T5a,True,,,
720575940604084704,right,T5b,633,-1,-24,-11,-13,T5b,True,,,
720575940604105137,right,T5b,209,-3,-8,-1,-7,T5b,True,,,
720575940604142453,right,T4c,511,5,-11,-11,0,T4c,True,,,
720575940604179372,left,T5b,294,1,-20,-11,-9,T5b,True,,,
720575940604180140,right,T4b,671,-4,-23,-8,-15,T4b,True,,,
720575940604192992,left,T5d,244,-4,-12,-2,-10,T5d,True,,,
720575940604198828,left,T4a,105,3,22,8,14,T4a,True,,,
720575940604221356,left,T5c,590,1,9,3,6,T5c,True,,,
720575940604323808,right,T5c,562,-5,-2,4,-6,T5c,True,,,
720575940604324320,right,T5c,522,-4,0,4,-4,T5c,True,,,
720575940604324576,left,T4b,454,5,-12,-11,-1,T4b,True,,,
720575940604337632,left,T4b,642,-5,-11,-1,-10,T4b,True,,,
720575940604383776,right,T4a,651,-4,-5,1,-6,T4a,True,,,
720575940604386594,left,T4a,536,3,4,-1,5,T4a,True,,,
720575940604411616,right,T5b,269,2,-19,-12,-7,T5b,True,,,
720575940604412896,right,T5c,548,1,-16,-9,-7,T5c,True,,,
720575940604413664,right,T5b,413,-2,-7,-2,-5,T5b,True,,,
720575940604427232,right,T5b,431,-2,-10,-3,-7,T5b,True,,,
720575940604432864,right,T5a,558,-4,-21,-7,-14,T5a,True,,,
720575940604435061,right,T4b,557,6,-10,-11,1,T4b,True,,,
720575940604436720,right,T4d,142,-2,-18,-7,-11,T4d,True,,,
720575940604457200,right,T5c,294,1,-20,-11,-9,T5c,True,,,
720575940604474982,right,T4a,663,0,8,4,4,T4a,True,,,
720575940604478065,left,T4b,591,3,-3,-5,2,T4b,True,,,
720575940604487968,right,T5d,481,4,-8,-8,0,T5d,True,,,
720575940604495537,left,T5d,223,-2,26,15,11,T5d,True,,,
